"","Région","Valeur","deg","hasc"
"103","Sidi Ali Ben Aoûn",4985,"Ezzouhour",NA
"104","Testour",4964,"Feriana","TN.BJ.TT"
"105","El Mida",4963,"Foussana","TN.NB.MI"
"106","Nebeur",4933,"Hassi El Ferid","TN.KF.NE"
"107","Mornaguia",4874,"Hidra","TN.MN.MO"
"108","El Mourouj",4824,"Kasserine Nord","TN.BA.MJ"
"109","Ouled Haffouz",4780,"Kasserine Sud","TN.SZ.OH"
"110","Oued Ellil",4682,"Majel Belabbes","TN.MN.OE"
"111","Siliana Sud",4629,"Sbiba","TN.SL.SS"
"112","Djoumine",4608,"Sbeitla","TN.BZ.JO"
"113","Ras Djebel",4516,"Thala","TN.BZ.RJ"
"114","Souk Jedid",4437,"Ben Guerdane","TN.SZ.SJ"
"115","Thala",4417,"Beni Khedache","TN.KS.TH"
"116","Takelsa",4368,"Djerba Ajim","TN.NB.TA"
"117","Ouled Chamekh",4364,"Djerba Houmet Essouk","TN.MH.OC"
"118","Souk El Ahed",4335,"Djerba Midoun","TN.KB.SA"
"119","Kerkenah",4283,"Medenine Nord","TN.SF.KE"
"120","Zaghouan",4242,"Medenine Sud","TN.ZA.ZA"
"121","Sned",4236,"Sidi Makhlouf","TN.GF.SE"
"122","Cebalet Ouled Asker",4210,"Zarzis","TN.SZ.SA"
"123","Utique",4183,"Boumerdes","TN.BZ.UT"
"124","Melloulech",4136,"Chebba","TN.MH.ME"
"125","Hassi Ferid",4088,"Chorbane","TN.KS.HF"
"126","Djedeida",4072,"Hbira","TN.MN.JE"
"127","Er-Rouhia",3995,"El Jem","TN.SL.RO"
"128","En-Nadhour",3982,"Ksour Essef","TN.ZA.NA"
"129","Djerba Ajim",3917,"Mahdia","TN.ME.DA"
"130","Kef Est",3909,"Melloulech","TN.KF.KE"
"131","Mahdia",3896,"Ouled Chamekh","TN.MH.MA"
"132","Oued Meliz",3863,"Sidi Alouane","TN.JE.OM"
"133","Amdoun",3841,"Souassi","TN.BJ.AM"
"134","El Hrairia",3836,"Borj El Amri","TN.TU.HA"
"135","Kasserine Sud",3780,"El Battan","TN.KS.KS"
"136","Tajerouine",3729,"Douar Hicher","TN.KF.TE"
"137","El Ayoun",3636,"Jedaida","TN.KS.AY"
"138","Majel Bel Abbès",3589,"Manouba",NA
"139","Beni Khalled",3577,"Mornaguia","TN.NB.BD"
"140","Menzel Bouzelfa",3514,"Oued Ellil","TN.NB.MB"
"141","Gabes Sud",3509,"Tebourba","TN.GB.GS"
"142","Beni Hassen",3485,"Beni Hassen","TN.MS.BH"
"143","Sakiet Sidi Youssef",3480,"Bekalta","TN.KF.SS"
"144","Mezzouna",3477,"Bembla","TN.SZ.MA"
"145","Ez-Zeriba",3385,"Jammel","TN.ZA.ZR"
"146","Sidi Thabet",3379,"Ksar Hellal","TN.AN.ST"
"147","Bizerte Nord",3352,"Ksibet El Mediouni","TN.BZ.BN"
"148","Dahmani",3350,"Moknine","TN.KF.DA"
"149","Smâr",3268,"Monastir",NA
"150","Bir Mchergua",3251,"Ouerdanine","TN.ZA.BM"
"151","Es-Sers",3221,"Sahline","TN.KF.ES"
"152","Bou Mhel El Bassatine",3217,"Sayada-Lamta-Bou Hjar","TN.BA.BE"
"153","Faouar",3133,"Teboulba","TN.KB.FA"
"154","El Metouia",3112,"Zeramdine","TN.GB.ME"
"155","Oum El Araies",3109,"Bou Argoub","TN.GF.OL"
"156","Makthar",3064,"Beni Khalled","TN.SL.MA"
"157","Teboursouk",3058,"Beni Khiar","TN.BJ.TB"
"158","Bouficha",3017,"Dar Chaabane El Fehri","TN.SS.BO"
"159","Sousse Jawhara",3002,"Grombalia","TN.SS.SJ"
"160","Belkhir",2928,"Hammam Ghezaz","TN.GF.BE"
"161","Jammel",2906,"Hammamet","TN.MS.JA"
"162","Menzel Bourguiba",2899,"Haouaria","TN.BZ.MB"
"163","Saouaf",2889,"Kelibia","TN.ZA.SA"
"164","Nouvelle Matmata",2872,"Korba","TN.GB.MN"
"165","Tibar",2856,"Menzel Bouzelfa","TN.BJ.TH"
"166","Ghraiba",2792,"El Mida","TN.SF.GH"
"167","Radès",2789,"Menzel Temime",NA
"168","Goubellat",2775,"Nabeul","TN.BJ.GO"
"169","Ghomrassen",2739,"Soliman","TN.TA.GH"
"170","El  Krib",2717,"Takelsa","TN.SL.EL"
"171","La Nouvelle Medina",2695,"Agareb","TN.BA.NM"
"172","Metlaoui",2563,"El Amra","TN.GF.ME"
"173","Sidi El Héni",2558,"Bir Ali Ben Khelifa",NA
"174","Menzel El Habib",2503,"Jebeniana",NA
"175","Ksar Helal",2492,"El Ghraiba","TN.MS.KH"
"176","Dar Châabane El Fehri",2456,"Hencha",NA
"177","El Battane",2452,"Kerkennah","TN.MN.BT"
"178","El Menzah",2342,"Mahres","TN.TU.MZ"
"179","Chebba",2317,"Menzel Chaker","TN.MH.CB"
