"","Région","Valeur","hasc"
"117","Ouled Chamekh",4364,"TN.MH.OC"
"118","Souk El Ahed",4335,"TN.KB.SA"
"119","Kerkenah",4283,"TN.SF.KE"
"120","Zaghouan",4242,"TN.ZA.ZA"
"121","Sned",4236,"TN.GF.SE"
"122","Cebalet Ouled Asker",4210,"TN.SZ.SA"
"123","Utique",4183,"TN.BZ.UT"
"124","Melloulech",4136,"TN.MH.ME"
"125","Hassi Ferid",4088,"TN.KS.HF"
"126","Djedeida",4072,"TN.MN.JE"
"127","Er-Rouhia",3995,"TN.SL.RO"
"128","En-Nadhour",3982,"TN.ZA.NA"
"129","Djerba Ajim",3917,"TN.ME.DA"
"130","Kef Est",3909,"TN.KF.KE"
"131","Mahdia",3896,"TN.MH.MA"
"132","Oued Meliz",3863,"TN.JE.OM"
"133","Amdoun",3841,"TN.BJ.AM"
"134","El Hrairia",3836,"TN.TU.HA"
"135","Kasserine Sud",3780,"TN.KS.KS"
"136","Tajerouine",3729,"TN.KF.TE"
"137","El Ayoun",3636,"TN.KS.AY"
"138","Majel Bel Abbès",3589,NA
"139","Beni Khalled",3577,"TN.NB.BD"
"140","Menzel Bouzelfa",3514,"TN.NB.MB"
"141","Gabes Sud",3509,"TN.GB.GS"
"142","Beni Hassen",3485,"TN.MS.BH"
"143","Sakiet Sidi Youssef",3480,"TN.KF.SS"
"144","Mezzouna",3477,"TN.SZ.MA"
"145","Ez-Zeriba",3385,"TN.ZA.ZR"
"146","Sidi Thabet",3379,"TN.AN.ST"
"147","Bizerte Nord",3352,"TN.BZ.BN"
"148","Dahmani",3350,"TN.KF.DA"
"149","Smâr",3268,NA
"150","Bir Mchergua",3251,"TN.ZA.BM"
"151","Es-Sers",3221,"TN.KF.ES"
"152","Bou Mhel El Bassatine",3217,"TN.BA.BE"
"153","Faouar",3133,"TN.KB.FA"
"154","El Metouia",3112,"TN.GB.ME"
"155","Oum El Araies",3109,"TN.GF.OL"
"156","Makthar",3064,"TN.SL.MA"
"157","Teboursouk",3058,"TN.BJ.TB"
"158","Bouficha",3017,"TN.SS.BO"
"159","Sousse Jawhara",3002,"TN.SS.SJ"
"160","Belkhir",2928,"TN.GF.BE"
"161","Jammel",2906,"TN.MS.JA"
"162","Menzel Bourguiba",2899,"TN.BZ.MB"
"163","Saouaf",2889,"TN.ZA.SA"
"164","Nouvelle Matmata",2872,"TN.GB.MN"
"165","Tibar",2856,"TN.BJ.TH"
"166","Ghraiba",2792,"TN.SF.GH"
"167","Radès",2789,NA
"168","Goubellat",2775,"TN.BJ.GO"
"169","Ghomrassen",2739,"TN.TA.GH"
"170","El  Krib",2717,"TN.SL.EL"
"171","La Nouvelle Medina",2695,"TN.BA.NM"
"172","Metlaoui",2563,"TN.GF.ME"
"173","Sidi El Héni",2558,NA
"174","Menzel El Habib",2503,NA
"175","Ksar Helal",2492,"TN.MS.KH"
"176","Dar Châabane El Fehri",2456,NA
"177","El Battane",2452,"TN.MN.BT"
"178","El Menzah",2342,"TN.TU.MZ"
"179","Chebba",2317,"TN.MH.CB"
"180","El Kabaria",2300,"TN.TU.KA"
"181","Tebourba",2213,"TN.MN.TE"
"182","Degach",2181,"TN.TO.DE"
"183","El Ksour",2178,"TN.KF.KU"
"184","Kalâat Snan",2176,NA
"185","Kef Ouest",2170,"TN.KF.KO"
"186","Siliana Nord",2070,"TN.SL.SN"
"187","Gafsa Nord",2031,"TN.GF.GN"
"188","Douz Sud",2026,"TN.KB.DS"
"189","Meknassy",2023,"TN.SZ.ME"
"190","Kesra",2003,"TN.SL.KI"
"191","Bargou",1990,"TN.SL.BA"
"192","Borj Amri",1961,"TN.MN.BA"
"193","Sidi Bou Ali",1951,"TN.SS.SB"
"194","Menzel Djemil",1944,"TN.BZ.MJ"
"195","El Alia",1943,"TN.BZ.AL"
"196","Hebira",1911,"TN.MH.HB"
"197","Hidra",1873,"TN.KS.HI"
"198","EL Guetar",1870,"TN.GF.GU"
"199","Bourouis",1849,"TN.SL.BR"
"200","Hammam El Guezaz",1836,"TN.NB.HG"
"201","El Aroussa",1825,"TN.SL.LA"
"202","Kalaâ Seghira",1785,NA
"203","Bekalta",1758,"TN.MS.BK"
"204","Ghar El Meleh",1705,"TN.BZ.GM"
"205","El Omrane Supérieur",1626,NA
"206","Hammam Sousse",1621,"TN.SS.HS"
"207","Bir Lahmar",1595,"TN.TA.BL"
"208","Tozeur",1580,"TN.TO.TO"
"209","Sidi Aïch",1556,NA
"210","Sayada-Lamta Bou-Hjar",1555,"TN.MS.SL"
"211","Teboulba",1541,"TN.MS.TE"
"212","Redeyef",1478,"TN.GF.RE"
"213","Djedeliane",1476,NA
"214","Mohamedia",1474,"TN.BA.MH"
"215","Bou Arada",1470,"TN.SL.BD"
"216","Mannouba",1466,"TN.MN.MA"
"217","Kondar",1445,"TN.SS.KO"
"218","Tinja",1422,"TN.BZ.TI"
"219","Sousse Sidi Abdelhamid",1418,"TN.SS.SS"
"220","Gabes Ouest",1402,"TN.GB.GO"
"221","Douz Nord",1367,"TN.KB.DN"
"222","Gaâfour",1356,NA
"223","El Ksar",1315,"TN.GF.KS"
"224","Hammam Chôtt",1259,NA
"225","Matmata",1185,"TN.GB.MT"
"226","Le Bardo",1184,"TN.TU.LB"
"227","Carthage",1165,"TN.TU.CA"
"228","Remada",1034,"TN.TA.RE"
"229","Bab El Bhar",1013,"TN.TU.BB"
"230","Cité El Khadhra",950,NA
"231","Gabes Medina",905,"TN.GB.GV"
"232","Kalaât El Andalous",902,NA
"233","Ouerdanine",901,"TN.MS.OU"
"234","El Omrane",878,"TN.TU.OM"
"235","Djerissa",848,"TN.KF.JE"
"236","Kalâat Khasbah",834,NA
"237","Hergla",801,"TN.SS.HE"
"238","Cité Ettadhamen",765,NA
"239","Ezzouhour",755,"TN.KS.EZ"
"240","Bembla",729,"TN.MS.BM"
"241","Bab Souika",652,"TN.TU.BS"
"242","Sousse Medina",632,"TN.SS.SM"
"243","Hammam Lif",629,"TN.BA.HL"
"244","Ghanouch",611,"TN.GB.GA"
"245","Ksibet El Mediouni",579,"TN.MS.KM"
"246","Tameghza",526,"TN.TO.TA"
"247","La Medina",373,"TN.TU.MD"
"248","Ettahrir",307,"TN.TU.TA"
"249","El Ouardia",280,"TN.TU.OU"
"250","Sousse Riadh",254,"TN.SS.SR"
"251","Megrine",240,"TN.BA.ME"
"252","Zarzouna",237,"TN.BZ.JA"
"253","Mdhila",230,"TN.GF.MD"
"254","Sijoumi",168,"TN.TU.SI"
"255","Sahline",156,"TN.MS.SA"
"256","Nefta",154,"TN.TO.NA"
"257","Djebel Djelloud",93,"TN.TU.JJ"
"258","Ezzouhour",17,"TN.KS.EZ"
"259","Hazoua",15,"TN.TO.HA"
"260","Ezzahra",15,"TN.BA.EZ"
"261","Dhehiba",13,"TN.TA.DH"
"262","Sidi El Béchir",1,NA
"263","Ben Arous",0,"TN.BA.BA"
