NArab1,HASC_2a,NFr1,HASC_2b,NFr2,HASC_2c,deg
منزل بورقيبة,TN.BZ.MB,Menzel Bourguiba,TN.BZ.MB,Menzel Bourguiba,TN.BZ.MB,Menzel Bourguiba
منزل جميل,TN.BZ.MJ,Menzel Jemil,TN.BZ.MJ,Menzel Jemil,TN.BZ.MJ,Menzel Djemil
راس الجبل,TN.BZ.RJ,Ras Jebel,TN.BZ.RJ,Ras Jebel,TN.BZ.RJ,Ras Djebel
سجنان,TN.BZ.SE,Sejnane,TN.BZ.SE,Sejnane,TN.BZ.SE,Sedjnane
تينجة,TN.BZ.TI,Tinja,TN.BZ.TI,Tinja,TN.BZ.TI,Tinja
أوتيك,TN.BZ.UT,Utique,TN.BZ.UT,Utique,TN.BZ.UT,Utique
غنوش,TN.GB.GA,Ghannouch,TN.GB.GA,Ghannouch,TN.GB.GA,Ghanouch
قابس الغربية,TN.GB.GO,Gabes Ouest,TN.GB.GO,GabËs Ouest,TN.GB.GO,Gabes Ouest
قابس الجنوبية,TN.GB.GS,Gabes Sud,TN.GB.GS,GabËs Sud,TN.GB.GS,Gabes Sud
قابس المدينة,TN.GB.GV,Gabes Medina,TN.GB.GV,GabËs Medina,TN.GB.GV,Gabes Medina
الحامة,TN.GB.HA,Hamma,TN.GB.HA,Hamma,TN.GB.HA,El Hamma
المطوية,TN.GB.ME,Metouia,TN.GB.ME,Metouia,TN.GB.ME,El Metouia
منزل الحبيب,TN.GB.MH,Menzel Habib,TN.GB.MH,Menzel Habib,TN.GB.MH,Menzel Habib
مارث,TN.GB.MR,Mareth,TN.GB.MR,Mareth,TN.GB.MR,Mareth
مطماطة,TN.GB.MT,Matmata,TN.GB.MT,Matmata,TN.GB.MT,Matmata
مطماطة الجديدة,TN.GB.MN,Matmata Nouvelle,TN.GB.MN,Matmata Nouvelle,TN.GB.MN,Nouvelle Matmata
 بلخير,TN.GF.BE,Belkhir,TN.GF.BE,Belkhir,TN.GF.BE,Belkhir
قفصة الشمالية,TN.GF.GN,Gafsa Nord,TN.GF.GN,Gafsa Nord,TN.GF.GN,Gafsa Nord
قفصة الجنوبية,TN.GF.GS,Gafsa Sud,TN.GF.GS,Gafsa Sud,TN.GF.GS,Gafsa Sud
القطار,TN.GF.GU,Guetar,TN.GF.GU,Guetar,TN.GF.GU,EL Guetar
القصر,TN.GF.KS,Ksar,TN.GF.KS,Ksar,TN.GF.KS,El Ksar
المضيلة,TN.GF.MD,Mdhilla,TN.GF.MD,Mdhilla,TN.GF.MD,Mdhila
المتلوي,TN.GF.ME,Metlaoui,TN.GF.ME,Metlaoui,TN.GF.ME,Metlaoui
أم العرائس,TN.GF.OL,Oum Larais,TN.GF.OL,Oum Larais,TN.GF.OL,Oum El Araies
الرديف,TN.GF.RE,Redeyef,TN.GF.RE,Redeyef,TN.GF.RE,Redeyef
سيدي عيش,TN.GF.SA,Sidi Aich,TN.GF.SA,Sidi Aich,TN.GF.SA,Sidi A�ch
السند,TN.GF.SE,Sened,TN.GF.SE,Sened,TN.GF.SE,Sned
