NArab1,HASC_2a,NFr1,HASC_2b,NFr2,HASC_2c,deg
مدنين الشمالية,TN.ME.MN,Medenine Nord,TN.ME.MN,Medenine Nord,TN.ME.MN,Medenine Nord
مدنين الجنوبية,TN.ME.MS,Medenine Sud,TN.ME.MS,Medenine Sud,TN.ME.MS,Medenine Sud
سيدي مخلوف,TN.ME.SM,Sidi Makhlouf,TN.ME.SM,Sidi Makhlouf,TN.ME.SM,Sidi Makhloulf
جرجيس,TN.ME.ZA,Zarzis,TN.ME.ZA,Zarzis,TN.ME.ZA,Zarzis
بومرداس,TN.MH.BO,Boumerdes,TN.MH.BO,BoumerdËs,TN.MH.BO,Bou Merd�s
الشابة,TN.MH.CB,Chebba,TN.MH.CB,Chebba,TN.MH.CB,Chebba
شربان,TN.MH.CR,Chorbane,TN.MH.CR,Chorbane,TN.MH.CR,Chorbane
هبيرة,TN.MH.HB,Hbira,TN.MH.HB,Hbira,TN.MH.HB,Hebira
الجم,TN.MH.JE,El Jem,TN.MH.JE,El Jem,TN.MH.JE,El Djem
قصور الساف,TN.MH.KE,Ksour Essef,TN.MH.KE,Ksour Essef,TN.MH.KE,Ksour Essef
المهدية,TN.MH.MA,Mahdia,TN.MH.MA,Mahdia,TN.MH.MA,Mahdia
ملولش,TN.MH.ME,Melloulech,TN.MH.ME,Melloulech,TN.MH.ME,Melloulech
أولاد شامخ,TN.MH.OC,Ouled Chamekh,TN.MH.OC,Ouled Chamekh,TN.MH.OC,Ouled Chamekh
سيدي علوان,TN.MH.SA,Sidi Alouane,TN.MH.SA,Sidi Alouane,TN.MH.SA,Sidi Alouane
السواسي,TN.MH.SO,Souassi,TN.MH.SO,Souassi,TN.MH.SO,Essouassi
برج العامري,TN.MN.BA,Borj El Amri,TN.MN.BA,Borj El Amri,TN.MN.BA,Borj Amri
البطان,TN.MN.BT,El Battan,TN.MN.BT,El Battan,TN.MN.BT,El Battane
دوار هيشر,TN.MN.DH,Douar Hicher,TN.MN.DH,Douar Hicher,TN.MN.DH,Douar Hicher
الجديدة,TN.MN.JE,Jedaida,TN.MN.JE,Jedaida,TN.MN.JE,Djedeida
منوبة,TN.MN.MA,Manouba,TN.MN.MA,Manouba,TN.MN.MA,Mannouba
المرناقية,TN.MN.MO,Mornaguia,TN.MN.MO,Mornaguia,TN.MN.MO,Mornaguia
وادي الليل,TN.MN.OE,Oued Ellil,TN.MN.OE,Oued Ellil,TN.MN.OE,Oued Ellil
طبربة,TN.MN.TE,Tebourba,TN.MN.TE,Tebourba,TN.MN.TE,Tebourba
بني حسان,TN.MS.BH,Beni Hassen,TN.MS.BH,Beni Hassen,TN.MS.BH,Beni Hassen
البقالطة,TN.MS.BK,Bekalta,TN.MS.BK,Bekalta,TN.MS.BK,Bekalta
بنبلة,TN.MS.BM,Bembla,TN.MS.BM,Bembla,TN.MS.BM,Bembla
جمال,TN.MS.JA,Jammel,TN.MS.JA,Jammel,TN.MS.JA,Jammel
قصر هلال,TN.MS.KH,Ksar Hellal,TN.MS.KH,Ksar Hellal,TN.MS.KH,Ksar Helal
قصيبة المديوني,TN.MS.KM,Ksibet El Mediouni,TN.MS.KM,Ksibet El Mediouni,TN.MS.KM,Ksibet El Mediouni
المكنين,TN.MS.MK,Moknine,TN.MS.MK,Moknine,TN.MS.MK,Moknine
المنستير,TN.MS.MS,Monastir,TN.MS.MS,Monastir,TN.MS.MS,Monastir
الوردانين,TN.MS.OU,Ouerdanine,TN.MS.OU,Ouerdanine,TN.MS.OU,Ouerdanine
الساحلين,TN.MS.SA,Sahline,TN.MS.SA,Sahline,TN.MS.SA,Sahline
صيادة - لمطة - بوحجر,TN.MS.SL,Sayada-Lamta-Bou Hjar,TN.MS.SL,Sayada-Lamta-Bou Hjar,TN.MS.SL,Sayada-Lamta Bou-Hjar
طبلبة,TN.MS.TE,Teboulba,TN.MS.TE,Teboulba,TN.MS.TE,Teboulba
